"tile_id","epsg","utm_zone","ul_x","ul_y"
"32SMG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,4200000
"32SMH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,4300020
"32SMJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",399960,4400040
"32SNA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3600000
"32SNB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3700020
"32SNC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3800040
"32SND",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,3900000
"32SNE",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,4000020
"32SNF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,4100040
"32SNG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,4200000
"32SNH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,4300020
"32SNJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",499980,4400040
"32SPA",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3600000
"32SPB",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3700020
"32SPC",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3800040
"32SPD",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,3900000
"32SPE",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,4000020
"32SPF",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,4100040
"32SPG",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,4200000
"32SPH",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,4300020
"32SPJ",32632,"+proj=utm +zone=32 +datum=WGS84 +units=m +no_defs",6e+05,4400040
